Town,Ceremonial county,Status,Link
Portland,Dorset,town council1,/wiki/Isle_of_Portland
Potton,Bedfordshire,town council,/wiki/Potton
Poynton-with-Worth,Cheshire,town council,/wiki/Poynton-with-Worth
Preesall,Lancashire,town council1,/wiki/Preesall
Prescot,Merseyside,town council,/wiki/Prescot
Princes Risborough,Buckinghamshire,town council,/wiki/Princes_Risborough
Prudhoe,Northumberland,town council1,/wiki/Prudhoe
Pudsey,West Yorkshire,borough (1900–1974),/wiki/Pudsey
Queenborough-in-Sheppey,Kent,charter trustees (abolished 1977),/wiki/Queenborough
Radstock,Somerset,town council1,/wiki/Radstock
Ramsey,Cambridgeshire,town council1,"/wiki/Ramsey,_Cambridgeshire"
Ramsgate,Kent,town council,/wiki/Ramsgate
Raunds,Northamptonshire,town council1,/wiki/Raunds
Rawtenstall,Lancashire,borough (1891–1974),/wiki/Rawtenstall
Rayleigh,Essex,town council,"/wiki/Rayleigh,_Essex"
Reading,Berkshire,borough (1935–1974),"/wiki/Reading,_Berkshire"
Redcar,North Yorkshire,borough (1921–1967),/wiki/Redcar
Redhill,Surrey,,"/wiki/Redhill,_Surrey"
Redruth,Cornwall,town council,/wiki/Redruth
Reepham,Norfolk,town council,"/wiki/Reepham,_Norfolk"
Reigate,Surrey,borough (1863–1974),/wiki/Reigate
Richmond,Greater London,borough (1890–1965),"/wiki/Richmond,_London"
Richmond,North Yorkshire,town council1,"/wiki/Richmond,_North_Yorkshire"
Ringwood,Hampshire,town council,/wiki/Ringwood
Ripley,Derbyshire,town council1,"/wiki/Ripley,_Derbyshire"
Rochdale,Greater Manchester,borough (1856–1974),/wiki/Rochdale
Rochester,Kent,borough (1835–1974)2,"/wiki/Rochester,_Kent"
Rochford,Essex,market charter,/wiki/Rochford
Romford,Greater London,borough (1937–1965),/wiki/Romford
Romsey,Hampshire,town council1,/wiki/Romsey
Ross-on-Wye,Herefordshire,town council1,/wiki/Ross-on-Wye
Rothbury,Northumberland,market charter,/wiki/Rothbury
Rotherham,South Yorkshire,borough (1871–1974),/wiki/Rotherham
Rothwell,Northamptonshire,town council1,"/wiki/Rothwell,_Northamptonshire"
Rothwell,West Yorkshire,market charter,"/wiki/Rothwell,_West_Yorkshire"
Rowley Regis,West Midlands,borough (1933–1966),/wiki/Rowley_Regis
Royal Leamington Spa,Warwickshire,town council,/wiki/Royal_Leamington_Spa
Royal Tunbridge Wells,Kent,borough (1888–1974),/wiki/Royal_Tunbridge_Wells
Royal Wootton Bassett,Wiltshire,town council,/wiki/Royal_Wootton_Bassett
Royston,Hertfordshire,town council1,"/wiki/Royston,_Hertfordshire"
Rugby,Warwickshire,borough (1932–1974),"/wiki/Rugby,_Warwickshire"
Rugeley,Staffordshire,town council,/wiki/Rugeley
Rushden,Northamptonshire,town council,/wiki/Rushden
Ryde,Isle of Wight,town council,/wiki/Ryde
Rye,East Sussex,town council1,"/wiki/Rye,_East_Sussex"
Saffron Walden,Essex,town council1,/wiki/Saffron_Walden
St Austell,Cornwall,town council,/wiki/St_Austell
St Blaise,Cornwall,town council,/wiki/St_Blazey
St Columb Major,Cornwall,town council,/wiki/St_Columb_Major
St Helens,Merseyside,borough (1868–1974),"/wiki/St_Helens,_Merseyside"
St Ives,Cambridgeshire,town council1,"/wiki/St_Ives,_Cambridgeshire"
St Ives,Cornwall,town council1,"/wiki/St_Ives,_Cornwall"
St Just-in-Penwith,Cornwall,town council1,/wiki/St_Just-in-Penwith
St Mawes,Cornwall,market charter,/wiki/St_Mawes
St Neots,Cambridgeshire,town council1,/wiki/St_Neots
Salcombe,Devon,town council1,/wiki/Salcombe
Sale,Greater Manchester,borough (1935–1974),"/wiki/Sale,_Greater_Manchester"
Saltash,Cornwall,town council1,/wiki/Saltash
Sandbach,Cheshire,town council1,/wiki/Sandbach
Sandhurst,Berkshire,town council,"/wiki/Sandhurst,_Berkshire"
Sandiacre,Derbyshire,market charter,/wiki/Sandiacre
Sandown,Isle of Wight,town council,/wiki/Sandown
Sandwich,Kent,town council1,"/wiki/Sandwich,_Kent"
Sandy,Bedfordshire,town council1,"/wiki/Sandy,_Bedfordshire"
Sawbridgeworth,Hertfordshire,town council1,/wiki/Sawbridgeworth
Saxmundham,Suffolk,town council1,/wiki/Saxmundham
Scarborough,North Yorkshire,borough (1835–1974),"/wiki/Scarborough,_North_Yorkshire"
Scunthorpe,Lincolnshire,charter trustees,/wiki/Scunthorpe
Seaford,East Sussex,town council,"/wiki/Seaford,_East_Sussex"
Seaham,Durham,town council,/wiki/Seaham
Seaton,Devon,town council1,"/wiki/Seaton,_Devon"
Sedbergh,Cumbria,market charter,/wiki/Sedbergh
Sedgefield,County Durham,town council,/wiki/Sedgefield
Selby,North Yorkshire,town council1,/wiki/Selby
Selsey,West Sussex,town council,/wiki/Selsey
Settle,North Yorkshire,town council,"/wiki/Settle,_North_Yorkshire"
Sevenoaks,Kent,town council1,/wiki/Sevenoaks
Shaftesbury,Dorset,town council1,/wiki/Shaftesbury
Shanklin,Isle of Wight,town council,/wiki/Shanklin
Shefford,Bedfordshire,town council,"/wiki/Shefford,_Bedfordshire"
Shepshed,Leicestershire,town council,/wiki/Shepshed
Shepton Mallet,Somerset,town council1,/wiki/Shepton_Mallet
Sherborne,Dorset,town council1,/wiki/Sherborne
Sheringham,Norfolk,town council1,/wiki/Sheringham
Shifnal,Shropshire,town council,/wiki/Shifnal
Shildon,Durham,town council1,/wiki/Shildon
Shipston-on-Stour,Warwickshire,town council,/wiki/Shipston-on-Stour
Shirebrook,Derbyshire,town council,/wiki/Shirebrook
Shoreham-by-Sea,West Sussex,market charter,/wiki/Shoreham-by-Sea
Shrewsbury,Shropshire,town council,/wiki/Shrewsbury
Sidmouth,Devon,town council1,/wiki/Sidmouth
Silloth,Cumbria,town council,/wiki/Silloth
Silsden,West Yorkshire,town council1,/wiki/Silsden
Sittingbourne,Kent,town council,/wiki/Sittingbourne
Skegness,Lincolnshire,town council1,/wiki/Skegness
Skelmersdale,Lancashire,town council,/wiki/Skelmersdale
Skelton-in-Cleveland,North Yorkshire,market charter,/wiki/Skelton-in-Cleveland
Skipton,North Yorkshire,town council1,/wiki/Skipton
Sleaford,Lincolnshire,town council1,/wiki/Sleaford
Slough,Berkshire,borough (1838–1974),/wiki/Slough
Smethwick,West Midlands,borough (1899–1966),/wiki/Smethwick
Snaith and Cowick,East Riding of Yorkshire,town council,/wiki/Snaith_and_Cowick
Snodland,Kent,town council,/wiki/Snodland
Soham,Cambridgeshire,town council,/wiki/Soham
Solihull,West Midlands,borough (1954–1974),/wiki/Solihull
Somerton,Somerset,town council,/wiki/Somerton
South Brent,Devon,market charter,/wiki/South_Brent
South Cave,East Riding of Yorkshire,market charter,/wiki/South_Cave
South Elmsall,West Yorkshire,town council,/wiki/South_Elmsall
South Kirkby and Moorthorpe,West Yorkshire,town council,/wiki/South_Kirkby_and_Moorthorpe
South Molton,Devon,town council,/wiki/South_Molton
South Shields,Tyne and Wear,borough (1850–1974),/wiki/South_Shields
South Woodham Ferrers,Essex,town council,/wiki/South_Woodham_Ferrers
Southam,Warwickshire,town council,/wiki/Southam
Southall,Greater London,borough (1936–1965),/wiki/Southall
Southborough,Kent,town council1,"/wiki/Southborough,_Kent"
Southend-on-Sea,Essex,borough (1892–1974),/wiki/Southend-on-Sea
Southgate,Greater London,borough (1933–1965),"/wiki/Southgate,_London"
Southminster,Essex,market charter,/wiki/Southminster
Southport,Merseyside,borough (1866–1974),/wiki/Southport
Southsea,Hampshire,town council,/wiki/Southsea
Southwell,Nottinghamshire,town council,"/wiki/Southwell,_Nottinghamshire"
Southwick,Hampshire,market charter,"/wiki/Southwick,_Hampshire"
Southwold,Suffolk,town council1,/wiki/Southwold
Spalding,Lincolnshire,town council,"/wiki/Spalding,_Lincolnshire"
Spennymoor,Durham,town council1,/wiki/Spennymoor
Spilsby,Lincolnshire,town council,/wiki/Spilsby
Sprowston,Norfolk,town council,/wiki/Sprowston
Stafford,Staffordshire,borough (1835–1974),/wiki/Stafford
Staines-upon-Thames,Surrey,market charter,/wiki/Staines-upon-Thames
Stainforth,South Yorkshire,town council,"/wiki/Stainforth,_South_Yorkshire"
Stalbridge,Dorset,town council,/wiki/Stalbridge
Stalham,Norfolk,market charter,/wiki/Stalham
Stalybridge,Greater Manchester,borough (1857–1974),/wiki/Stalybridge
Stamford,Lincolnshire,town council1,"/wiki/Stamford,_Lincolnshire"
Stanley,Durham,town council,"/wiki/Stanley,_County_Durham"
Stanhope,Durham,market charter,"/wiki/Stanhope,_County_Durham"
Stapleford,Nottinghamshire,town council,"/wiki/Stapleford,_Nottinghamshire"
Staveley,Derbyshire,town council1,"/wiki/Staveley,_Derbyshire"
Stevenage,Hertfordshire,market charter,/wiki/Stevenage
Steyning,West Sussex,market charter,/wiki/Steyning
St Mary Cray,Greater London,market charter,/wiki/St_Mary_Cray
Stockport,Greater Manchester,borough (1835–1974),/wiki/Stockport
Stocksbridge,South Yorkshire,town council1,/wiki/Stocksbridge
Stockton-on-Tees,Durham/North Yorkshire,borough (1835–1967),/wiki/Stockton-on-Tees
Stone,Staffordshire,town council1,"/wiki/Stone,_Staffordshire"
Stonehouse,Gloucestershire,town council,"/wiki/Stonehouse,_Gloucestershire"
Stony Stratford,Buckinghamshire,town council,/wiki/Stony_Stratford
Stotfold,Bedfordshire,town council,/wiki/Stotfold
Stourbridge,West Midlands,borough (1914–1974),/wiki/Stourbridge
Stourport-on-Severn,Worcestershire,town council1,/wiki/Stourport-on-Severn
Stowmarket,Suffolk,town council1,/wiki/Stowmarket
Stow-on-the-Wold,Gloucestershire,town council,/wiki/Stow-on-the-Wold
Stratford-upon-Avon,Warwickshire,town council1,/wiki/Stratford-upon-Avon
Stretford,Greater Manchester,borough (1933–1974),/wiki/Stretford
Strood,Kent,market charter,/wiki/Strood
Stroud,Gloucestershire,town council,"/wiki/Stroud,_Gloucestershire"
Sturminster Newton,Dorset,town council,/wiki/Sturminster_Newton
Sudbury,Suffolk,town council1,"/wiki/Sudbury,_Suffolk"
Surbiton,Greater London,borough (1936–1965),/wiki/Surbiton
Sutton,Greater London,borough (1934-1965),"/wiki/Sutton,_London"
Sutton Coldfield,West Midlands,market charter,/wiki/Sutton_Coldfield
Swaffham,Norfolk,town council1,/wiki/Swaffham
Swanage,Dorset,town council1,/wiki/Swanage
Swanley,Kent,town council,/wiki/Swanley
Swanscombe and Greenhithe,Kent,town council1,/wiki/Swanscombe_and_Greenhithe
Swindon,Wiltshire,borough (1900–1974),/wiki/Swindon
Syston,Leicestershire,town council,/wiki/Syston
Tadcaster,North Yorkshire,town council,/wiki/Tadcaster
Tadley,Hampshire,town council,/wiki/Tadley
Tamworth,Staffordshire,borough (1835–1974),"/wiki/Tamworth,_Staffordshire"
Taunton,Somerset,borough (1885–1974),/wiki/Taunton
Tavistock,Devon,town council,"/wiki/Tavistock,_Devon"
Teignmouth,Devon,town council1,/wiki/Teignmouth
Telscombe,East Sussex,town council,/wiki/Telscombe
Tenbury Wells,Worcestershire,town council,/wiki/Tenbury_Wells
Tenterden,Kent,town council1,/wiki/Tenterden
Tetbury,Gloucestershire,town council,/wiki/Tetbury
Tewkesbury,Gloucestershire,town council1,/wiki/Tewkesbury
Thame,Oxfordshire,town council1,/wiki/Thame
Thatcham,Berkshire,town council,/wiki/Thatcham
Thaxted,Essex,market charter,/wiki/Thaxted
Thetford,Norfolk,town council1,/wiki/Thetford
Thirsk,North Yorkshire,town council,/wiki/Thirsk
Thornaby-on-Tees,North Yorkshire,town council,/wiki/Thornaby-on-Tees
Thornbury,Gloucestershire,town council,"/wiki/Thornbury,_South_Gloucestershire"
Thorne,South Yorkshire,town council,"/wiki/Thorne,_South_Yorkshire"
Thorpe St Andrew,Norfolk,town council,/wiki/Thorpe_St_Andrew
Thrapston,Northamptonshire,town council,/wiki/Thrapston
Tickhill,South Yorkshire,town council1,/wiki/Tickhill
Tidworth,Wiltshire,town council,/wiki/Tidworth
Tipton,West Midlands,borough (1938–1966),/wiki/Tipton
Tiverton,Devon,town council1,"/wiki/Tiverton,_Devon"
Todmorden,West Yorkshire,town council1,/wiki/Todmorden
Tonbridge,Kent,market charter,/wiki/Tonbridge
Topsham,Devon,market charter,"/wiki/Topsham,_Devon"
Torpoint,Cornwall,town council1,/wiki/Torpoint
Torquay,Devon,borough (1892–1974),/wiki/Torquay
Totnes,Devon,town council1,/wiki/Totnes
Tottenham,Greater London,borough (1934–1965),/wiki/Tottenham
Totton and Eling,Hampshire,town council,/wiki/Totton_and_Eling
Tow Law,Durham,town council1,/wiki/Tow_Law
Towcester,Northamptonshire,town council,/wiki/Towcester
Tring,Hertfordshire,town council1,/wiki/Tring
Trowbridge,Wiltshire,town council1,/wiki/Trowbridge
Twickenham,Greater London,borough (1926–1965),/wiki/Twickenham
Tynemouth,Tyne and Wear,borough (1849–1974),/wiki/Tynemouth
Uckfield,East Sussex,town council,/wiki/Uckfield
Ulverston,Cumbria,town council1,/wiki/Ulverston
Uppingham,Rutland,town council,/wiki/Uppingham
Upton-upon-Severn,Worcestershire,town council,/wiki/Upton-upon-Severn
Uttoxeter,Staffordshire,town council1,/wiki/Uttoxeter
Uxbridge,Greater London,borough (1955–1965),/wiki/Uxbridge
Ventnor,Isle of Wight,town council1,/wiki/Ventnor
Verwood,Dorset,town council,/wiki/Verwood
Wadebridge,Cornwall,town council,/wiki/Wadebridge
Wadhurst,East Sussex,market charter,/wiki/Wadhurst
Wainfleet All Saints,Lincolnshire,town council,"/wiki/Wainfleet,_Lincolnshire"
Wallasey,Merseyside,borough (1910–1974),/wiki/Wallasey
Wallsend,Tyne and Wear,borough (1901–1974),/wiki/Wallsend
Wallingford,Oxfordshire,town council1,"/wiki/Wallingford,_Oxfordshire"
Walsall,West Midlands,borough (1835–1974),/wiki/Walsall
Waltham Abbey,Essex,town council1,/wiki/Waltham_Abbey_(town)
Waltham Cross,Hertfordshire,market charter,/wiki/Waltham_Cross
Walthamstow,Greater London,borough (1926–1965),/wiki/Walthamstow
Walton-on-Thames,Surrey,market charter,/wiki/Walton-on-Thames
Wantage,Oxfordshire,town council1,/wiki/Wantage
Ware,Hertfordshire,town council1,"/wiki/Ware,_Hertfordshire"
Wareham,Dorset,town council1,"/wiki/Wareham,_Dorset"
Warminster,Wiltshire,town council1,/wiki/Warminster
Warrington,Cheshire,borough (1847–1974),/wiki/Warrington
Warwick,Warwickshire,town council1,/wiki/Warwick
Watchet,Somerset,town council1,/wiki/Watchet
Watford,Hertfordshire,borough (1922–1974),/wiki/Watford
Wath-upon-Dearne,South Yorkshire,market charter,/wiki/Wath-upon-Dearne
Watlington,Oxfordshire,market charter,"/wiki/Watlington,_Oxfordshire"
Watton,Norfolk,town council,"/wiki/Watton,_Norfolk"
Wellingborough,Northamptonshire,market charter,/wiki/Wellingborough
Wednesbury,West Midlands,borough (1886 - 1966),/wiki/Wednesbury
Wellington,Shropshire,town council,"/wiki/Wellington,_Shropshire"
Wellington,Somerset,town council1,"/wiki/Wellington,_Somerset"
Wells-next-the-Sea,Norfolk,town council1,/wiki/Wells-next-the-Sea
Wem,Shropshire,town council,/wiki/Wem
Wembley,Greater London,borough (1937–1965),/wiki/Wembley
Wendover,Buckinghamshire,market charter,/wiki/Wendover
West Bedlington,Northumberland,town council,/wiki/West_Bedlington
West Bromwich,West Midlands,borough (1882–1974),/wiki/West_Bromwich
West Ham,Greater London,borough (1886–1965),/wiki/West_Ham
West Malling,Kent,market charter,/wiki/West_Malling
West Mersea,Essex,town council1,/wiki/West_Mersea
West Tilbury,Essex,market charter,/wiki/West_Tilbury
Westbury,Wiltshire,town council1,"/wiki/Westbury,_Wiltshire"
Westerham,Kent,market charter,/wiki/Westerham
Westhoughton,Greater Manchester,town council,/wiki/Westhoughton
Weston-super-Mare,Somerset,town council,/wiki/Weston-super-Mare
Wetherby,West Yorkshire,town council,/wiki/Wetherby
Weybridge,Surrey,market charter,/wiki/Weybridge
Weymouth,Dorset,town council,"/wiki/Weymouth,_Dorset"
Whaley Bridge,Derbyshire,town council1,/wiki/Whaley_Bridge
Whitby,North Yorkshire,town council1,/wiki/Whitby
Whitchurch,Hampshire,town council,"/wiki/Whitchurch,_Hampshire"
Whitchurch,Shropshire,town council,"/wiki/Whitchurch,_Shropshire"
Whitehaven,Cumbria,borough (1894–1974),/wiki/Whitehaven
Whitehill,Hampshire,town council,"/wiki/Whitehill,_Hampshire"
Whitnash,Warwickshire,town council,/wiki/Whitnash
Whittlesey,Cambridgeshire,town council,/wiki/Whittlesey
Whitworth,Lancashire,town council1,"/wiki/Whitworth,_Lancashire"
Wickham,Hampshire,market charter,/wiki/Wickham
Wickwar,Gloucestershire,market charter,/wiki/Wickwar
Widnes,Cheshire,borough (1892–1974),/wiki/Widnes
Wigan,Greater Manchester,borough (1835–1974),/wiki/Wigan
Wigton,Cumbria,town council,/wiki/Wigton
Willenhall,West Midlands,market charter,/wiki/Willenhall
Willesden,Greater London,borough (1933–1965),/wiki/Willesden
Wilton,Wiltshire,town council1,"/wiki/Wilton,_Wiltshire"
Wilmslow,Cheshire,town council,/wiki/Wilmslow
Wimbledon,Greater London,borough (1905–1965),"/wiki/Wimbledon,_London"
Wimborne Minster,Dorset,town council1,/wiki/Wimborne_Minster
Wincanton,Somerset,town council,/wiki/Wincanton
Winchcombe,Gloucestershire,town council,/wiki/Winchcombe
Winchelsea,East Sussex,market charter,/wiki/Winchelsea
Windermere,Cumbria,town council1,"/wiki/Windermere,_Cumbria_(town)"
Windsor,Berkshire,borough (1835–1974),"/wiki/Windsor,_Berkshire"
Winsford,Cheshire,town council1,/wiki/Winsford
Winslow,Buckinghamshire,town council,"/wiki/Winslow,_Buckinghamshire"
Winterton,Lincolnshire,town council,"/wiki/Winterton,_Lincolnshire"
Wirksworth,Derbyshire,town council1,/wiki/Wirksworth
Wisbech,Cambridgeshire,town council1,/wiki/Wisbech
Witham,Essex,town council,/wiki/Witham
Withernsea,East Riding of Yorkshire,town council,/wiki/Withernsea
Witney,Oxfordshire,town council1,/wiki/Witney
Wiveliscombe,Somerset,town council,/wiki/Wiveliscombe
Wivenhoe,Essex,town council1,/wiki/Wivenhoe
Woburn,Bedfordshire,market charter,"/wiki/Woburn,_Bedfordshire"
Woburn Sands,Buckinghamshire,town council,/wiki/Woburn_Sands
Woking,Surrey,market charter,/wiki/Woking
Wokingham,Berkshire,town council1,/wiki/Wokingham
Wolsingham,Durham,market charter,/wiki/Wolsingham
Wolverton and Greenleys,Buckinghamshire,town council,/wiki/Wolverton_and_Greenleys
Wood Green,Greater London,borough (1933–1965),/wiki/Wood_Green
Woodbridge,Suffolk,town council1,"/wiki/Woodbridge,_Suffolk"
Woodley,Berkshire,town council,"/wiki/Woodley,_Berkshire"
Woodstock,Oxfordshire,town council1,"/wiki/Woodstock,_Oxfordshire"
Wooler,Northumberland,market charter,/wiki/Wooler
Workington,Cumbria,town council,/wiki/Workington
Worksop,Nottinghamshire,charter trustees,/wiki/Worksop
Worthing,West Sussex,borough (1890–1974),/wiki/Worthing
Wotton-under-Edge,Gloucestershire,town council,/wiki/Wotton-under-Edge
Wragby,Lincolnshire,town council,/wiki/Wragby
Wymondham,Norfolk,town council1,/wiki/Wymondham
Yarm,North Yorkshire,town council,/wiki/Yarm
Yarmouth,Isle of Wight,town council,"/wiki/Yarmouth,_Isle_of_Wight"
Yate,Gloucestershire,town council,/wiki/Yate
Yateley,Hampshire,town council,/wiki/Yateley
Yeovil,Somerset,town council,/wiki/Yeovil
Basildon,Essex,new town (designated 1949),/wiki/Basildon
Bracknell,Berkshire,new town (designated 1949),/wiki/Bracknell
Milton Keynes,Buckinghamshire,new town (designated 1967),/wiki/Milton_Keynes
Redditch,Worcestershire,new town (designated 1964),/wiki/Redditch
Telford,Shropshire,new town (designated 1968),/wiki/Telford
Washington,Tyne and Wear,new town (designated 1964),"/wiki/Washington,_Tyne_and_Wear"
Welwyn Garden City,Hertfordshire,new town (designated 1948),/wiki/Welwyn_Garden_City
